family,tokenizer,model,mode,regime_a,regime_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
regime::wl::lstm::state,wl,lstm,state,domain_dependent,all_domains,358,0.4757914338919925,0.7458100558659218,0.27001862197392923,0.2346368715083799,0.3054003724394786,25,226,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,4.999750012499375e-05,True,regime::wl::lstm::state
regime::wl::lstm::delta,wl,lstm,delta,domain_dependent,all_domains,358,0.786778398510242,0.8044692737430168,0.01769087523277467,-0.0027932960893854763,0.038175046554934824,27,45,0.10599470026498675,Paired sign-flip on per-problem seed-mean solved outcomes,0.10599470026498675,False,regime::wl::lstm::delta
regime::wl::xgboost::state,wl,xgboost,state,domain_dependent,all_domains,358,0.3268156424581006,0.3435754189944134,0.01675977653631285,-0.002793296089385475,0.036312849162011177,4,10,0.18049097545122744,Paired sign-flip on per-problem seed-mean solved outcomes,0.18049097545122744,False,regime::wl::xgboost::state
regime::wl::xgboost::delta,wl,xgboost,delta,domain_dependent,all_domains,358,0.8994413407821229,0.8379888268156425,-0.061452513966480445,-0.0893854748603352,-0.036312849162011177,24,2,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,4.999750012499375e-05,True,regime::wl::xgboost::delta
regime::simhash::lstm::state,simhash,lstm,state,domain_dependent,all_domains,358,0.39385474860335196,0.43854748603351956,0.0446927374301676,0.007448789571694598,0.08007448789571694,42,69,0.01974901254937253,Paired sign-flip on per-problem seed-mean solved outcomes,0.01974901254937253,True,regime::simhash::lstm::state
regime::simhash::lstm::delta,simhash,lstm,delta,domain_dependent,all_domains,358,0.2206703910614525,0.1610800744878957,-0.059590316573556804,-0.0893854748603352,-0.03072625698324022,46,15,9.99950002499875e-05,Paired sign-flip on per-problem seed-mean solved outcomes,9.99950002499875e-05,True,regime::simhash::lstm::delta
regime::simhash::xgboost::state,simhash,xgboost,state,domain_dependent,all_domains,358,0.3547486033519553,0.31564245810055863,-0.03910614525139665,-0.08659217877094973,0.0111731843575419,47,33,0.14139293035348233,Paired sign-flip on per-problem seed-mean solved outcomes,0.14139293035348233,False,regime::simhash::xgboost::state
regime::simhash::xgboost::delta,simhash,xgboost,delta,domain_dependent,all_domains,358,0.22346368715083798,0.164804469273743,-0.05865921787709497,-0.09217877094972067,-0.025139664804469275,31,10,0.0014999250037498126,Paired sign-flip on per-problem seed-mean solved outcomes,0.0014999250037498126,True,regime::simhash::xgboost::delta
regime::shortest_path::lstm::state,shortest_path,lstm,state,domain_dependent,all_domains,358,0.7942271880819366,0.7951582867783986,0.000931098696461825,0.0,0.002793296089385475,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::shortest_path::lstm::state
regime::shortest_path::lstm::delta,shortest_path,lstm,delta,domain_dependent,all_domains,358,0.8026070763500931,0.7905027932960894,-0.012104283054003726,-0.021415270018621976,-0.0037243947858473002,15,4,0.007899605019749012,Paired sign-flip on per-problem seed-mean solved outcomes,0.007899605019749012,True,regime::shortest_path::lstm::delta
regime::shortest_path::xgboost::state,shortest_path,xgboost,state,domain_dependent,all_domains,358,0.7681564245810056,0.8072625698324022,0.03910614525139665,0.0111731843575419,0.0670391061452514,7,21,0.0119994000299985,Paired sign-flip on per-problem seed-mean solved outcomes,0.0119994000299985,True,regime::shortest_path::xgboost::state
regime::shortest_path::xgboost::delta,shortest_path,xgboost,delta,domain_dependent,all_domains,358,0.7849162011173184,0.7932960893854749,0.008379888268156424,-0.002793296089385475,0.0223463687150838,1,4,0.3742812859357032,Paired sign-flip on per-problem seed-mean solved outcomes,0.3742812859357032,False,regime::shortest_path::xgboost::delta
regime::graphbpe::lstm::state,graphbpe,lstm,state,domain_dependent,all_domains,358,0.23743016759776536,0.24115456238361266,0.0037243947858473,0.0,0.008379888268156426,0,3,0.2537373131343433,Paired sign-flip on per-problem seed-mean solved outcomes,0.2537373131343433,False,regime::graphbpe::lstm::state
regime::graphbpe::lstm::delta,graphbpe,lstm,delta,domain_dependent,all_domains,358,0.2355679702048417,0.23277467411545621,-0.0027932960893854763,-0.009310986964618252,0.003724394785847299,7,3,0.27563621818909056,Paired sign-flip on per-problem seed-mean solved outcomes,0.27563621818909056,False,regime::graphbpe::lstm::delta
regime::graphbpe::xgboost::state,graphbpe,xgboost,state,domain_dependent,all_domains,358,0.23743016759776536,0.24394785847299813,0.006517690875232774,0.0,0.01582867783985102,0,3,0.24688765561721915,Paired sign-flip on per-problem seed-mean solved outcomes,0.24688765561721915,False,regime::graphbpe::xgboost::state
regime::graphbpe::xgboost::delta,graphbpe,xgboost,delta,domain_dependent,all_domains,358,0.23743016759776536,0.24581005586592178,0.008379888268156424,0.0,0.019553072625698324,0,3,0.24783760811959402,Paired sign-flip on per-problem seed-mean solved outcomes,0.24783760811959402,False,regime::graphbpe::xgboost::delta
regime::random::lstm::state,random,lstm,state,domain_dependent,all_domains,358,0.17597765363128492,0.14711359404096833,-0.02886405959031657,-0.05027932960893855,-0.009310986964618248,34,19,0.008349582520873956,Paired sign-flip on per-problem seed-mean solved outcomes,0.008349582520873956,True,regime::random::lstm::state
regime::random::lstm::delta,random,lstm,delta,domain_dependent,all_domains,358,0.4329608938547486,0.23370577281191804,-0.19925512104283052,-0.23091247672253257,-0.1694599627560521,166,19,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,4.999750012499375e-05,True,regime::random::lstm::delta
regime::random::xgboost::state,random,xgboost,state,domain_dependent,all_domains,358,0.16201117318435754,0.7039106145251397,0.5418994413407822,0.4888268156424581,0.5949720670391061,4,198,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,4.999750012499375e-05,True,regime::random::xgboost::state
regime::random::xgboost::delta,random,xgboost,delta,domain_dependent,all_domains,358,0.7932960893854749,0.6061452513966481,-0.1871508379888268,-0.22905027932960895,-0.14804469273743018,67,0,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,4.999750012499375e-05,True,regime::random::xgboost::delta
