Regime,Seed,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Val Solved,Val Exec,Val Avg Plan Len,Val Num Problems,Interp Solved,Interp Exec,Interp Avg Plan Len,Interp Num Problems,Extrap Solved,Extrap Exec,Extrap Avg Plan Len,Extrap Num Problems
domain_dependent,13,blocks,wl,lstm,state,172,domain_specific,33.33%,100.00%,50.00,3,100.00%,100.00%,13.33,3,10.00%,100.00%,118.40,20
domain_dependent,13,gripper,wl,lstm,state,302,domain_specific,100.00%,100.00%,29.00,2,100.00%,100.00%,16.33,3,25.00%,100.00%,276.56,16
domain_dependent,13,logistics,wl,lstm,state,552,domain_specific,0.00%,100.00%,150.00,4,100.00%,100.00%,50.11,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,wl,lstm,state,138,domain_specific,66.67%,100.00%,29.71,24,100.00%,100.00%,9.41,37,21.92%,100.00%,342.68,219
domain_dependent,13,blocks,wl,lstm,delta,172,domain_specific,66.67%,100.00%,70.67,3,100.00%,100.00%,14.67,3,10.00%,100.00%,113.70,20
domain_dependent,13,gripper,wl,lstm,delta,302,domain_specific,0.00%,100.00%,135.00,2,66.67%,100.00%,79.33,3,0.00%,100.00%,250.00,16
domain_dependent,13,logistics,wl,lstm,delta,552,domain_specific,0.00%,100.00%,150.00,4,33.33%,100.00%,98.22,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,wl,lstm,delta,138,domain_specific,100.00%,100.00%,21.54,24,100.00%,100.00%,8.92,37,95.43%,100.00%,79.07,219
domain_dependent,13,blocks,wl,xgboost,state,172,domain_specific,100.00%,100.00%,19.33,3,100.00%,100.00%,12.67,3,20.00%,100.00%,114.80,20
domain_dependent,13,gripper,wl,xgboost,state,302,domain_specific,0.00%,100.00%,124.50,2,66.67%,100.00%,45.00,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,wl,xgboost,state,552,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,121.44,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,wl,xgboost,state,138,domain_specific,100.00%,100.00%,19.12,24,100.00%,100.00%,8.81,37,19.63%,100.00%,392.81,219
domain_dependent,13,blocks,wl,xgboost,delta,172,domain_specific,66.67%,100.00%,44.67,3,100.00%,100.00%,12.67,3,70.00%,100.00%,71.80,20
domain_dependent,13,gripper,wl,xgboost,delta,302,domain_specific,100.00%,100.00%,47.00,2,100.00%,100.00%,29.00,3,100.00%,100.00%,117.00,16
domain_dependent,13,logistics,wl,xgboost,delta,552,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,122.56,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,wl,xgboost,delta,138,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.78,37,100.00%,100.00%,61.22,219
domain_dependent,13,blocks,simhash,lstm,state,128,domain_specific,0.00%,100.00%,88.67,3,0.00%,100.00%,38.00,3,0.00%,100.00%,124.50,20
domain_dependent,13,gripper,simhash,lstm,state,128,domain_specific,0.00%,100.00%,135.00,2,100.00%,100.00%,21.00,3,50.00%,100.00%,211.12,16
domain_dependent,13,logistics,simhash,lstm,state,128,domain_specific,0.00%,100.00%,150.00,4,33.33%,100.00%,109.44,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,simhash,lstm,state,128,domain_specific,83.33%,100.00%,41.04,24,94.59%,100.00%,14.38,37,33.33%,100.00%,405.98,219
domain_dependent,13,blocks,simhash,lstm,delta,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,36.67,3,0.00%,100.00%,122.70,20
domain_dependent,13,gripper,simhash,lstm,delta,128,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,74.00,3,81.25%,100.00%,146.31,16
domain_dependent,13,logistics,simhash,lstm,delta,128,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,130.78,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,simhash,lstm,delta,128,domain_specific,50.00%,100.00%,107.83,24,83.78%,100.00%,25.14,37,10.50%,100.00%,454.79,219
domain_dependent,13,blocks,simhash,xgboost,state,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,100.00,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,simhash,xgboost,state,128,domain_specific,0.00%,100.00%,135.00,2,100.00%,100.00%,19.00,3,43.75%,100.00%,214.81,16
domain_dependent,13,logistics,simhash,xgboost,state,128,domain_specific,0.00%,100.00%,150.00,4,33.33%,100.00%,115.78,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,simhash,xgboost,state,128,domain_specific,62.50%,100.00%,35.67,24,89.19%,100.00%,13.11,37,30.14%,100.00%,410.17,219
domain_dependent,13,blocks,simhash,xgboost,delta,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,28.00,3,0.00%,100.00%,118.60,20
domain_dependent,13,gripper,simhash,xgboost,delta,128,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,90.00,3,81.25%,100.00%,144.69,16
domain_dependent,13,logistics,simhash,xgboost,delta,128,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,123.00,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,simhash,xgboost,delta,128,domain_specific,41.67%,100.00%,110.42,24,81.08%,100.00%,24.54,37,11.87%,100.00%,458.64,219
domain_dependent,13,blocks,shortest_path,lstm,state,30,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,12.00,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,shortest_path,lstm,state,28,domain_specific,0.00%,100.00%,135.00,2,66.67%,100.00%,47.33,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,shortest_path,lstm,state,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,112.33,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,lstm,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.14,37,100.00%,100.00%,61.68,219
domain_dependent,13,blocks,shortest_path,lstm,delta,30,domain_specific,0.00%,100.00%,15.33,3,0.00%,100.00%,12.67,3,0.00%,100.00%,42.70,20
domain_dependent,13,gripper,shortest_path,lstm,delta,28,domain_specific,100.00%,100.00%,28.00,2,100.00%,100.00%,16.33,3,25.00%,100.00%,280.62,16
domain_dependent,13,logistics,shortest_path,lstm,delta,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,118.33,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,lstm,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.49,37,100.00%,100.00%,61.48,219
domain_dependent,13,blocks,shortest_path,xgboost,state,30,domain_specific,0.00%,100.00%,13.33,3,0.00%,100.00%,14.00,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,shortest_path,xgboost,state,28,domain_specific,50.00%,100.00%,87.50,2,100.00%,100.00%,19.00,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,shortest_path,xgboost,state,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,112.00,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,xgboost,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.19,37,94.98%,100.00%,71.63,219
domain_dependent,13,blocks,shortest_path,xgboost,delta,30,domain_specific,0.00%,100.00%,45.33,3,0.00%,100.00%,26.00,3,0.00%,100.00%,64.20,20
domain_dependent,13,gripper,shortest_path,xgboost,delta,28,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,92.00,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,shortest_path,xgboost,delta,32,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,132.11,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,xgboost,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.51,37,100.00%,100.00%,61.25,219
domain_dependent,13,blocks,graphbpe,lstm,state,84,domain_specific,0.00%,100.00%,100.00,3,33.33%,100.00%,67.33,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,graphbpe,lstm,state,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,13,logistics,graphbpe,lstm,state,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,graphbpe,lstm,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,13,blocks,graphbpe,lstm,delta,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,99.33,3,0.00%,100.00%,117.80,20
domain_dependent,13,gripper,graphbpe,lstm,delta,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,13,logistics,graphbpe,lstm,delta,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,graphbpe,lstm,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,13,blocks,graphbpe,xgboost,state,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,100.00,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,graphbpe,xgboost,state,58,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,13,logistics,graphbpe,xgboost,state,102,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,117.11,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,graphbpe,xgboost,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,13,blocks,graphbpe,xgboost,delta,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,60.67,3,0.00%,100.00%,120.80,20
domain_dependent,13,gripper,graphbpe,xgboost,delta,58,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,13,logistics,graphbpe,xgboost,delta,102,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,117.11,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,graphbpe,xgboost,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,13,blocks,random,lstm,state,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,27.33,3,0.00%,100.00%,122.70,20
domain_dependent,13,gripper,random,lstm,state,128,domain_specific,100.00%,100.00%,29.00,2,100.00%,100.00%,17.00,3,18.75%,100.00%,283.94,16
domain_dependent,13,logistics,random,lstm,state,128,domain_specific,0.00%,100.00%,150.00,4,44.44%,100.00%,110.33,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,random,lstm,state,128,domain_specific,54.17%,100.00%,104.75,24,72.97%,100.00%,24.08,37,4.11%,100.00%,377.35,219
domain_dependent,13,blocks,random,lstm,delta,128,domain_specific,0.00%,100.00%,72.00,3,0.00%,100.00%,28.00,3,0.00%,100.00%,94.70,20
domain_dependent,13,gripper,random,lstm,delta,128,domain_specific,100.00%,100.00%,36.00,2,66.67%,100.00%,25.67,3,56.25%,100.00%,87.00,16
domain_dependent,13,logistics,random,lstm,delta,128,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,129.78,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,random,lstm,delta,128,domain_specific,41.67%,100.00%,106.42,24,67.57%,100.00%,24.73,37,4.11%,100.00%,364.58,219
domain_dependent,13,blocks,random,xgboost,state,128,domain_specific,0.00%,100.00%,27.33,3,0.00%,100.00%,20.67,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,random,xgboost,state,128,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,13,logistics,random,xgboost,state,128,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,125.67,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,random,xgboost,state,128,domain_specific,33.33%,100.00%,114.33,24,70.27%,100.00%,23.46,37,0.91%,100.00%,389.70,219
domain_dependent,13,blocks,random,xgboost,delta,128,domain_specific,0.00%,100.00%,99.33,3,0.00%,100.00%,21.33,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,random,xgboost,delta,128,domain_specific,50.00%,100.00%,87.50,2,100.00%,100.00%,19.00,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,random,xgboost,delta,128,domain_specific,0.00%,100.00%,150.00,4,0.00%,100.00%,135.56,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,random,xgboost,delta,128,domain_specific,100.00%,100.00%,23.12,24,100.00%,100.00%,10.00,37,100.00%,100.00%,69.69,219
domain_dependent,23,blocks,wl,lstm,state,172,domain_specific,66.67%,100.00%,64.67,3,100.00%,100.00%,41.33,3,10.00%,100.00%,120.80,20
domain_dependent,23,gripper,wl,lstm,state,302,domain_specific,100.00%,100.00%,33.00,2,100.00%,100.00%,21.00,3,37.50%,100.00%,106.94,16
domain_dependent,23,logistics,wl,lstm,state,552,domain_specific,0.00%,100.00%,150.00,4,33.33%,100.00%,97.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,wl,lstm,state,138,domain_specific,95.83%,100.00%,20.17,24,100.00%,100.00%,9.00,37,94.06%,100.00%,106.82,219
domain_dependent,23,blocks,wl,lstm,delta,172,domain_specific,33.33%,100.00%,72.67,3,100.00%,100.00%,14.00,3,25.00%,100.00%,102.10,20
domain_dependent,23,gripper,wl,lstm,delta,302,domain_specific,0.00%,100.00%,135.00,2,33.33%,100.00%,81.67,3,0.00%,100.00%,300.50,16
domain_dependent,23,logistics,wl,lstm,delta,552,domain_specific,0.00%,100.00%,150.00,4,33.33%,100.00%,99.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,wl,lstm,delta,138,domain_specific,91.67%,100.00%,21.21,24,100.00%,100.00%,8.51,37,95.43%,100.00%,78.51,219
domain_dependent,23,blocks,wl,xgboost,state,172,domain_specific,100.00%,100.00%,19.33,3,100.00%,100.00%,12.67,3,20.00%,100.00%,114.80,20
domain_dependent,23,gripper,wl,xgboost,state,302,domain_specific,0.00%,100.00%,124.50,2,66.67%,100.00%,45.00,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,wl,xgboost,state,552,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,121.44,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,wl,xgboost,state,138,domain_specific,100.00%,100.00%,19.12,24,100.00%,100.00%,8.81,37,19.63%,100.00%,392.81,219
domain_dependent,23,blocks,wl,xgboost,delta,172,domain_specific,66.67%,100.00%,44.67,3,100.00%,100.00%,12.67,3,70.00%,100.00%,71.80,20
domain_dependent,23,gripper,wl,xgboost,delta,302,domain_specific,100.00%,100.00%,47.00,2,100.00%,100.00%,29.00,3,100.00%,100.00%,117.00,16
domain_dependent,23,logistics,wl,xgboost,delta,552,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,122.56,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,wl,xgboost,delta,138,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.78,37,100.00%,100.00%,61.22,219
domain_dependent,23,blocks,simhash,lstm,state,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,26.67,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,simhash,lstm,state,128,domain_specific,0.00%,100.00%,135.00,2,100.00%,100.00%,20.33,3,50.00%,100.00%,208.75,16
domain_dependent,23,logistics,simhash,lstm,state,128,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,114.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,simhash,lstm,state,128,domain_specific,79.17%,100.00%,41.83,24,94.59%,100.00%,14.22,37,33.33%,100.00%,401.85,219
domain_dependent,23,blocks,simhash,lstm,delta,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,41.33,3,0.00%,100.00%,123.80,20
domain_dependent,23,gripper,simhash,lstm,delta,128,domain_specific,0.00%,100.00%,121.00,2,0.00%,100.00%,74.67,3,81.25%,100.00%,146.31,16
domain_dependent,23,logistics,simhash,lstm,delta,128,domain_specific,0.00%,100.00%,150.00,4,0.00%,100.00%,123.78,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,simhash,lstm,delta,128,domain_specific,41.67%,100.00%,107.71,24,81.08%,100.00%,24.49,37,10.96%,100.00%,445.81,219
domain_dependent,23,blocks,simhash,xgboost,state,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,100.00,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,simhash,xgboost,state,128,domain_specific,0.00%,100.00%,135.00,2,100.00%,100.00%,19.00,3,43.75%,100.00%,214.81,16
domain_dependent,23,logistics,simhash,xgboost,state,128,domain_specific,0.00%,100.00%,150.00,4,33.33%,100.00%,115.78,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,simhash,xgboost,state,128,domain_specific,62.50%,100.00%,35.67,24,89.19%,100.00%,13.11,37,30.14%,100.00%,410.17,219
domain_dependent,23,blocks,simhash,xgboost,delta,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,28.00,3,0.00%,100.00%,118.60,20
domain_dependent,23,gripper,simhash,xgboost,delta,128,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,90.00,3,81.25%,100.00%,144.69,16
domain_dependent,23,logistics,simhash,xgboost,delta,128,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,123.00,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,simhash,xgboost,delta,128,domain_specific,41.67%,100.00%,110.42,24,81.08%,100.00%,24.54,37,11.87%,100.00%,458.64,219
domain_dependent,23,blocks,shortest_path,lstm,state,30,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,14.00,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,shortest_path,lstm,state,28,domain_specific,0.00%,100.00%,135.00,2,100.00%,100.00%,20.33,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,shortest_path,lstm,state,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,112.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,lstm,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.14,37,100.00%,100.00%,61.68,219
domain_dependent,23,blocks,shortest_path,lstm,delta,30,domain_specific,0.00%,100.00%,16.00,3,0.00%,100.00%,11.33,3,0.00%,100.00%,63.30,20
domain_dependent,23,gripper,shortest_path,lstm,delta,28,domain_specific,100.00%,100.00%,34.00,2,100.00%,100.00%,17.00,3,6.25%,100.00%,153.50,16
domain_dependent,23,logistics,shortest_path,lstm,delta,32,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,119.33,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,lstm,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.70,37,100.00%,100.00%,61.42,219
domain_dependent,23,blocks,shortest_path,xgboost,state,30,domain_specific,0.00%,100.00%,13.33,3,0.00%,100.00%,14.00,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,shortest_path,xgboost,state,28,domain_specific,50.00%,100.00%,87.50,2,100.00%,100.00%,19.00,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,shortest_path,xgboost,state,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,112.00,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,xgboost,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.19,37,94.98%,100.00%,71.63,219
domain_dependent,23,blocks,shortest_path,xgboost,delta,30,domain_specific,0.00%,100.00%,45.33,3,0.00%,100.00%,26.00,3,0.00%,100.00%,64.20,20
domain_dependent,23,gripper,shortest_path,xgboost,delta,28,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,92.00,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,shortest_path,xgboost,delta,32,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,132.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,xgboost,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.51,37,100.00%,100.00%,61.25,219
domain_dependent,23,blocks,graphbpe,lstm,state,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,77.33,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,graphbpe,lstm,state,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,23,logistics,graphbpe,lstm,state,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,lstm,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,graphbpe,lstm,delta,84,domain_specific,0.00%,100.00%,100.00,3,33.33%,100.00%,44.67,3,0.00%,100.00%,112.20,20
domain_dependent,23,gripper,graphbpe,lstm,delta,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,23,logistics,graphbpe,lstm,delta,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,lstm,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,graphbpe,xgboost,state,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,98.00,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,graphbpe,xgboost,state,58,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,23,logistics,graphbpe,xgboost,state,102,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,117.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,xgboost,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,graphbpe,xgboost,delta,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,78.67,3,0.00%,100.00%,124.40,20
domain_dependent,23,gripper,graphbpe,xgboost,delta,58,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,23,logistics,graphbpe,xgboost,delta,102,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,117.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,xgboost,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,random,lstm,state,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,29.33,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,random,lstm,state,128,domain_specific,100.00%,100.00%,35.00,2,100.00%,100.00%,17.00,3,18.75%,100.00%,283.94,16
domain_dependent,23,logistics,random,lstm,state,128,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,108.22,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,random,lstm,state,128,domain_specific,54.17%,100.00%,114.25,24,72.97%,100.00%,25.81,37,5.48%,100.00%,379.22,219
domain_dependent,23,blocks,random,lstm,delta,128,domain_specific,0.00%,100.00%,59.33,3,0.00%,100.00%,26.67,3,0.00%,100.00%,85.60,20
domain_dependent,23,gripper,random,lstm,delta,128,domain_specific,100.00%,100.00%,28.00,2,66.67%,100.00%,25.67,3,68.75%,100.00%,55.38,16
domain_dependent,23,logistics,random,lstm,delta,128,domain_specific,0.00%,100.00%,150.00,4,0.00%,100.00%,136.67,9,0.00%,100.00%,293.33,18
